40,LederstraÃŸe,Soltau,29614,0153/9483564,,162
41,Kufsteiner StraÃŸe,Altenau,38707,0153/8078534,,106
42,Werningslebener StraÃŸe,Dresden,1279,0161/1477266,,22
43,Helle Bieke,Soltau,29614,0163/8916036,,179
44,Fischbacher StraÃŸe,Soltau,29614,0164/4000719,,173
45,In der Bitze,Heidekamp,23858,0159/4103197,,118
46,St. Sebastian,Altenau,38707,0157/2342222,,137
47,Am Hochkreuz,Dresden,1279,0177/4222442,,66
48,BÃ¼dinger StraÃŸe,NÃ¼rnberg,90425,0173/9403523,,150
49,MÃ¶rfelder LandstraÃŸe,Dresden,1279,0176/9730078,,83
50,Maria-Theresia-StraÃŸe,Dresden,1279,0150/6118651,,12
51,RiedgaustraÃŸe,Wolfsheim,55578,0153/5620689,,185
52,Niederndorfer StraÃŸe,Soltau,29614,0176/8241018,,194
53,Am MÃ¼hlenweg,GÃ¼tersloh,33330,0157/5401840,,34
54,HangstraÃŸe,Dresden,1279,0173/2711011,,193a
55,Wiesenpfad,Wolfsheim,55578,0175/8146424,,134
56,HÃ¶henstraÃŸe,MÃ¼nsingen,72525,0155/7637123,,152
57,Hanfackerweg,Ziegenhain,57632,0171/5021170,,102
58,Anne-Frank-StraÃŸe,Soltau,29614,0151/7998726,,62
59,Sterbecker StraÃŸe,RodenÃ¤s,25924,0153/8131402,,98
60,MÃ¤rchenweg,Wolfsheim,55578,0158/7390738,,86
61,Jan-von-Werth-StraÃŸe,Soltau,29614,0165/9756926,,93
62,Nauheimer StraÃŸe,Ziegenhain,57632,0170/3645058,,82
63,BergmannstraÃŸe,Ziegenhain,57632,0169/3799397,,66
64,BennauerstraÃŸe,Soltau,29614,0156/3706383,,79
65,Am Seifen,NÃ¼rnberg,90425,0175/6907889,,5
66,Am Bildchen,Heidekamp,23858,0177/8774006,,156
67,Eversumer StraÃŸe,MÃ¼nsingen,72525,0153/8630466,,61
68,NeckarstraÃŸe,Altenau,38707,0175/6361822,,155
69,BlÃ¼tenstraÃŸe,Heidekamp,23858,0152/6942079,,190
70,Kurt-Tucholsky-StraÃŸe,MÃ¼nsingen,72525,0164/5066667,,4
71,Strippchens Hof,Soltau,29614,0170/8952483,,106
72,MerodestraÃŸe,Altenau,38707,0169/1286156,,90
73,MÃ¶rikeweg,Heidekamp,23858,0157/3648300,,36
74,Kaiserallee,RodenÃ¤s,25924,0160/1952648,,59
75,VirchowstraÃŸe,GÃ¼tersloh,33330,0164/2056914,,57
76,SchelmenbÃ¼hl,Heidekamp,23858,0172/7015947,,80
77,Wiedehagen,Heidekamp,23858,0176/7536897,,155
78,Tutweg,RodenÃ¤s,25924,0165/5125244,,76
79,Bergkamp,MÃ¼nsingen,72525,0152/7320231,,182
80,Stahlenhauser StraÃŸe,Heidekamp,23858,0160/5945138,,47
81,KraneburgstraÃŸe,GÃ¼tersloh,33330,0170/1455237,,89
82,KahrstraÃŸe,Ziegenhain,57632,0163/5723229,,104
83,HÃ¶denbuschweg,Wolfsheim,55578,0153/7318976,,188
84,Vor den Eichen,Wolfsheim,55578,0179/6661563,,165
85,AfelskreuzstraÃŸe,Ziegenhain,57632,0161/8057744,,72
86,RundstraÃŸe,Burgberg,87545,0177/5538983,,68
87,JosefshausstraÃŸe,Dresden,1279,0161/4903693,,144
88,Am Kapellenberg,Dresden,1279,0159/9936425,,63
89,OrtenaustraÃŸe,Ziegenhain,57632,0176/3077115,,191
90,Marienthaler StraÃŸe,RodenÃ¤s,25924,0178/7873808,,52
91,Siegburger StraÃŸe,Heidekamp,23858,0172/5831798,,39
92,SchultenstraÃŸe,Dresden,1279,0152/5418223,,81
93,Lehmweg,Burgberg,87545,0162/6871693,,155
94,In der Burg,Wolfsheim,55578,0152/3250351,,200
95,WestfÃ¤lische StraÃŸe,Altenau,38707,0173/4880095,,128
96,Lippborger StraÃŸe,Hof an der Saale,95032,0150/1378542,,16
97,Burgunder StraÃŸe,RodenÃ¤s,25924,0162/7210356,,115
98,HÃ¶rster,GÃ¼tersloh,33330,0157/1835809,,179
99,Rohrkamp,Heidekamp,23858,0172/5893588,,171
100,Ludwigsallee,Hof an der Saale,95032,0158/1282933,,175
101,Platanenweg,Bickenbach,56291,0160/4413182,,138
102,An den HÃ¶fen,Bickenbach,56291,0159/4361742,,7
103,AgnesstraÃŸe,RodenÃ¤s,25924,0164/2793166,,6
104,BÃ¶vingen,Dresden,1279,0171/3506653,,175
105,KobergstraÃŸe,Wolfsheim,55578,0166/4282964,,11
106,EhrenstraÃŸe,Proschim,3130,0171/7489337,,108
107,Am MÃ¼hlenfeld,Burgberg,87545,0178/7451958,,141
