rowid,street,number,city,post_code
71,Strippchens Hof,106,Soltau,29614,0170/8952483
72,Merodestrasse,90,Altenau,38707,0169/1286156
73,Moerikeweg,36,Heidekamp,23858,0157/3648300
74,Kaiserallee,59,Rodenaes,25924,0160/1952648
75,Virchowstrasse,57,Guetersloh,33330,0164/2056914
76,Schelmenbuehl,80,Heidekamp,23858,0172/7015947
77,Wiedehagen,155,Heidekamp,23858,0176/7536897
78,Tutweg,76,Rodenaes,25924,0165/5125244
79,Bergkamp,182,Muensingen,72525,0152/7320231
80,Stahlenhauser Strasse,47,Heidekamp,23858,0160/5945138
81,Kraneburgstrasse,89,Guetersloh,33330,0170/1455237
82,Kahrstrasse,104,Ziegenhain,57632,0163/5723229
83,Hoedenbuschweg,188,Wolfsheim,55578,0153/7318976
84,Vor den Eichen,165,Wolfsheim,55578,0179/6661563
85,Afelskreuzstrasse,72,Ziegenhain,57632,0161/8057744
86,Rundstrasse,68,Burgberg,87545,0177/5538983
87,Josefshausstrasse,144,Dresden,1279,0161/4903693
88,Am Kapellenberg,63,Dresden,1279,0159/9936425
89,Ortenaustrasse,191,Ziegenhain,57632,0176/3077115
90,Marienthaler Strasse,52,Rodenaes,25924,0178/7873808
91,Siegburger Strasse,39,Heidekamp,23858,0172/5831798
92,Schultenstrasse,81,Dresden,1279,0152/5418223
93,Lehmweg,155,Burgberg,87545,0162/6871693
94,In der Burg,200,Wolfsheim,55578,0152/3250351
95,Westfälische Strasse,128,Altenau,38707,0173/4880095
96,Lippborger Strasse,16,Hof an der Saale,95032,0150/1378542
97,Burgunder Strasse,115,Rodenaes,25924,0162/7210356
98,Hoerster,179,Guetersloh,33330,0157/1835809
99,Rohrkamp,171,Heidekamp,23858,0172/5893588
100,Ludwigsallee,175,Hof an der Saale,95032,0158/1282933
101,Platanenweg,138,Bickenbach,56291,0160/4413182
102,An den Hoefen,7,Bickenbach,56291,0159/4361742
103,Agnesstrasse,6,Rodenaes,25924,0164/2793166
104,Boevingen,175,Dresden,1279,0171/3506653
105,Kobergstrasse,11,Wolfsheim,55578,0166/4282964
106,Ehrenstrasse,108,Proschim,3130,0171/7489337
107,Am Muehlenfeld,141,Burgberg,87545,0178/7451958
